order_id,comp_code,subject_id,package_code,status,created_at,submitted_at,completed_at,cancelled_at,reopened_count,sla_target_hours,tat_hours,tat_bucket,dmr_flag,mr_flag,adjudication_result,created_by_email,channel,list_price,discount_pct,net_amount,invoice_ref,search_text
1,C001,86,C001-PKG-1,COMPLETED,2025-03-24 19:02:03.531315+05:30,2025-03-24 20:02:03.531315+05:30,2025-03-26 11:02:03.531315+05:30,,0,24,39,24–48h,f,f,,michaeljohnson@gmail.com,PORTAL,1046.81,0.00,1046.81,,
50,C001,33,C001-PKG-1,COMPLETED,2025-04-18 21:00:03.531315+05:30,2025-04-19 04:00:03.531315+05:30,2025-04-20 02:00:03.531315+05:30,,0,72,22,<=24h,f,f,,njordan@yahoo.com,BULK,1046.81,5.00,994.47,,
51,C001,304,C001-PKG-1,COMPLETED,2025-04-19 12:36:03.531315+05:30,2025-04-19 15:36:03.531315+05:30,2025-04-21 02:36:03.531315+05:30,,0,48,35,24–48h,f,f,,kimhoward@gmail.com,BULK,1046.81,0.00,1046.81,,
68,C001,71,C001-PKG-2,IN_PROGRESS,2025-04-27 23:11:03.531315+05:30,2025-04-28 07:11:03.531315+05:30,,,0,36,,,f,f,,,PORTAL,3626.76,0.00,3626.76,,
98,C001,115,C001-PKG-2,COMPLETED,2025-05-11 15:02:03.531315+05:30,2025-05-11 20:02:03.531315+05:30,2025-05-14 18:02:03.531315+05:30,,1,72,70,48–72h,f,f,,millertaylor@yahoo.com,BULK,3626.76,0.00,3626.76,,
99,C001,235,C001-PKG-1,IN_PROGRESS,2025-05-12 14:25:03.531315+05:30,2025-05-12 20:25:03.531315+05:30,,,0,24,,,f,f,,johnstonchristopher@yahoo.com,PORTAL,1046.81,5.00,994.47,,
100,C001,112,C001-PKG-2,COMPLETED,2025-05-13 04:28:03.531315+05:30,2025-05-13 09:28:03.531315+05:30,2025-05-13 20:28:03.531315+05:30,,0,24,11,<=24h,f,f,,,BULK,3626.76,10.00,3264.08,,
101,C001,273,C001-PKG-2,IN_PROGRESS,2025-05-12 21:14:03.531315+05:30,2025-05-13 00:14:03.531315+05:30,,,0,36,,,f,f,,dawnjohnson@hotmail.com,BULK,3626.76,0.00,3626.76,,
102,C001,241,C001-PKG-2,IN_PROGRESS,2025-05-14 10:14:03.531315+05:30,2025-05-14 11:14:03.531315+05:30,,,0,48,,,f,f,,,BULK,3626.76,5.00,3445.42,,
146,C001,372,C001-PKG-2,COMPLETED,2025-06-03 19:58:03.531315+05:30,2025-06-03 19:58:03.531315+05:30,2025-06-08 03:58:03.531315+05:30,,1,72,104,>72h,f,f,,,API,3626.76,10.00,3264.08,,
